date_confirm,hubei,guangdong,zhejiang,henan,hunan,chongqing,anhui,shandong,beijing,sichuan,fujian,jiangxi,jiangsu,shanghai,guangxi,shaanxi,yunnan,hainan,liaoning,hebei,heilongjiang,tianjin,shanxi,gansu,inner_mongolia,ningxia,xinjiang,guizhou,jilin,qinghai,tibet,hong_kong_sar,macau_sar
2020-01-16T00:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17T00:00:00Z,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18T00:00:00Z,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19T00:00:00Z,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20T00:00:00Z,72,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21T00:00:00Z,105,12,5,1,1,5,0,1,5,2,0,2,0,7,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
2020-01-22T00:00:00Z,69,6,5,4,3,4,1,1,4,3,1,1,1,7,5,0,0,4,2,1,1,2,1,0,0,1,0,3,1,0,0,0,0
2020-01-23T00:00:00Z,105,21,20,4,5,18,14,7,12,10,4,4,4,4,8,3,1,1,2,1,2,1,0,2,1,1,2,0,2,0,0,1,1
2020-01-24T00:00:00Z,180,25,19,23,15,30,24,12,10,13,5,11,9,13,10,2,3,5,8,6,6,3,5,2,1,1,1,1,1,0,0,3,0
2020-01-25T00:00:00Z,323,20,42,51,45,18,21,18,15,16,8,18,17,7,10,10,6,10,5,5,6,2,3,3,5,1,1,1,0,1,0,0,0
2020-01-26T00:00:00Z,371,48,24,45,31,35,10,22,16,25,17,12,16,13,13,7,10,7,5,5,6,5,4,7,4,3,1,2,2,3,0,3,3
2020-01-27T00:00:00Z,1291,42,45,40,43,22,36,26,13,21,24,24,23,13,5,13,11,11,5,15,9,8,7,5,2,4,5,2,2,2,0,0,2
2020-01-28T00:00:00Z,840,53,123,38,78,15,46,34,16,18,23,37,29,14,7,11,19,5,9,15,7,2,7,5,3,1,3,0,1,0,0,0,0
2020-01-29T00:00:00Z,1032,70,132,72,56,18,48,24,16,34,19,53,30,21,20,17,19,3,3,17,6,2,8,2,2,5,1,3,5,0,1,2,0
2020-01-30T00:00:00Z,1220,82,109,74,55,41,37,33,20,36,19,78,39,27,9,24,10,3,6,17,16,5,4,4,2,4,3,3,0,2,0,2,0
2020-01-31T00:00:00Z,1347,127,62,70,57,32,60,24,24,30,24,47,34,25,13,15,11,8,15,14,21,2,8,6,3,5,1,14,3,0,0,1,0
2020-02-01T00:00:00Z,1921,85,62,71,74,24,43,23,27,24,15,47,34,24,11,15,8,6,4,8,15,11,9,5,3,2,3,9,6,1,0,1,0
2020-02-02T00:00:00Z,2103,79,63,73,58,38,68,21,32,23,20,59,35,16,16,12,10,7,6,9,23,4,10,11,7,3,3,8,8,4,0,1,1
2020-02-03T00:00:00Z,2345,114,105,109,72,37,72,24,16,28,15,85,37,15,12,14,8,9,4,13,39,14,8,5,4,3,5,10,11,2,0,0,0
2020-02-04T00:00:00Z,3156,73,66,89,68,29,50,28,25,19,11,72,33,25,11,23,5,11,7,9,35,4,7,1,5,0,3,8,12,2,0,3,2
2020-02-05T00:00:00Z,2987,74,59,87,50,23,61,45,21,20,10,52,32,21,18,8,6,11,8,22,37,3,9,5,4,6,4,5,5,1,0,3,0
2020-02-06T00:00:00Z,2447,74,52,63,61,22,74,36,23,23,9,61,35,15,4,11,7,11,5,14,50,9,6,8,3,3,3,8,6,0,0,3,0
2020-02-07T00:00:00Z,2841,57,42,67,31,15,68,28,18,19,15,37,31,12,11,11,3,12,5,24,19,2,8,1,1,2,3,12,4,0,0,2,0
2020-02-08T00:00:00Z,2147,45,27,53,35,20,46,28,11,23,11,42,29,11,12,13,2,6,6,11,26,7,12,10,4,0,3,7,9,0,0,0,0
2020-02-09T00:00:00Z,2618,31,29,40,41,22,51,24,11,19,11,32,24,3,15,5,1,8,2,12,24,3,4,5,4,4,4,13,2,0,0,10,0
2020-02-10T00:00:00Z,2097,26,25,32,33,18,30,27,5,12,6,32,23,7,5,6,8,6,1,21,29,5,3,1,0,4,6,9,1,0,0,6,0
2020-02-11T00:00:00Z,1638,42,14,30,34,19,29,11,10,19,5,40,28,4,7,6,5,3,3,12,18,10,2,0,2,5,4,13,2,0,0,7,0
2020-02-12T00:00:00Z,14840,22,14,34,22,13,22,9,14,15,7,28,27,7,0,4,1,12,5,14,17,6,2,1,1,6,4,4,1,0,0,1,0
2020-02-13T00:00:00Z,4823,20,10,15,20,11,24,13,6,12,2,28,23,5,4,1,7,0,1,18,23,7,0,3,2,3,2,5,2,0,0,3,0
2020-02-14T00:00:00Z,2420,33,7,28,13,8,16,11,3,7,4,13,11,8,9,2,6,5,2,8,7,1,1,0,5,3,5,3,2,0,0,3,0
2020-02-15T00:00:00Z,1843,22,5,19,3,7,12,7,5,11,2,13,13,2,2,4,1,0,1,9,20,2,1,0,2,0,1,1,1,0,0,0,0
2020-02-16T00:00:00Z,1933,6,4,15,2,7,11,4,1,14,3,5,9,3,1,4,2,0,1,1,12,2,1,1,2,0,2,2,0,0,0,1,0
2020-02-17T00:00:00Z,1807,6,1,11,1,2,9,2,6,13,2,3,3,2,4,0,1,1,0,1,7,1,1,0,1,0,1,0,0,0,0,3,0
2020-02-18T00:00:00Z,1693,3,1,5,1,2,4,1,6,6,1,1,2,0,2,2,1,0,0,4,6,3,1,0,2,1,0,0,1,0,0,2,0
2020-02-19T00:00:00Z,775,1,2,4,2,5,1,2,2,6,0,1,0,0,1,3,0,5,0,1,6,2,0,0,0,0,0,0,1,0,0,3,0
2020-02-20T00:00:00Z,631,1,28,2,1,7,1,202,1,5,0,0,0,1,1,0,2,0,0,1,3,1,1,0,0,0,0,0,0,0,0,3,0
2020-02-21T00:00:00Z,366,6,2,3,2,5,1,2,3,1,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-02-22T00:00:00Z,630,3,0,1,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0
2020-02-23T00:00:00Z,398,3,0,0,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0
2020-02-24T00:00:00Z,499,2,0,0,0,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0
2020-02-25T00:00:00Z,401,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-02-26T00:00:00Z,409,0,0,1,1,0,0,0,10,3,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,6,0
2020-02-27T00:00:00Z,318,1,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0
2020-02-28T00:00:00Z,423,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2020-02-29T00:00:00Z,570,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-03-01T00:00:00Z,196,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0
2020-03-02T00:00:00Z,114,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-03-03T00:00:00Z,115,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-04T00:00:00Z,134,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
2020-03-05T00:00:00Z,126,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
2020-03-06T00:00:00Z,74,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0
2020-03-07T00:00:00Z,41,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
2020-03-08T00:00:00Z,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0
2020-03-09T00:00:00Z,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-03-10T00:00:00Z,13,0,0,0,0,0,0,1,6,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0
2020-03-11T00:00:00Z,8,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0
2020-03-12T00:00:00Z,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-13T00:00:00Z,4,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0
2020-03-14T00:00:00Z,4,1,4,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0
2020-03-15T00:00:00Z,4,4,0,0,0,0,0,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0
2020-03-16T00:00:00Z,1,3,1,0,0,0,0,1,9,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
2020-03-17T00:00:00Z,1,5,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
2020-03-18T00:00:00Z,0,9,1,0,0,0,0,0,21,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,2
2020-03-19T00:00:00Z,0,14,1,0,0,0,0,1,6,1,3,0,0,8,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,16,2
2020-03-20T00:00:00Z,0,7,2,0,0,0,0,2,14,1,4,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
2020-03-21T00:00:00Z,0,8,1,0,0,0,0,1,13,1,4,1,2,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,1
2020-03-22T00:00:00Z,0,6,1,1,0,1,0,2,10,0,6,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,44,3
2020-03-23T00:00:00Z,1,15,2,0,0,1,0,1,32,2,5,0,3,10,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,39,4
2020-03-24T00:00:00Z,0,5,1,0,0,0,0,1,5,2,4,0,2,19,0,1,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,30,1
2020-03-25T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,4
2020-03-26T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,3
2020-03-27T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
